desa,kecamatan,Latitude,Longitude,rr,skor_hujan,elevasi_m,slope_deg,skor_risiko,kelas,tempat_evakuasi_tujuan,jarak_ke_shelter_km,manajemen_tindakan
Desa Mentasan,Kawunganten,-7.58261,108.958872,13.386271514351176,1.727260840561442,44.0,5.577293914964667,83.1,Kritis,Balai Desa Mentasan,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kalijeruk,Kawunganten,-7.579115,108.936851,13.20540471903865,1.7039231895533742,18.0,3.383075773055656,82.8,Kritis,Balai Desa Kalijeruk,0.06,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kawunganten,Kawunganten,-7.591934,108.92207,13.247996036074472,1.709418843364448,9.0,1.2843709011516793,82.9,Kritis,Balai Desa Kawunganten,0.29,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kawunganten Lor,Kawunganten,-7.584107,108.922413,13.158779972138944,1.6979070931792184,6.0,2.2016417112407245,82.9,Kritis,Balai Desa Kawunganten Lor,0.4,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Babakan,Kawunganten,-7.66247,108.933569,14.08685468086818,1.81765866849912,9.0,2.2611426770153207,87.7,Kritis,Balai Desa Babakan,0.11,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Panikel,Kampung Laut,-7.631573,108.856721,12.922698139066114,1.667444921169821,2.0,0.6182019541478413,82.8,Kritis,Balai Desa Panikel,0.19,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Ujunggagak,Kampung Laut,-7.665938,108.818228,12.599172394530246,1.6256996638103542,5.0,0.7077309639730434,81.6,Kritis,Balai Desa Ujunggagak,0.12,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Klaces,Kampung Laut,-7.681075,108.848305,13.067385514722686,1.6861142599642176,2.0,1.481645999836768,82.9,Kritis,Balai Desa Klaces,2.31,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Ujungalang,Kampung Laut,-7.700257,108.887835,13.671787971255386,1.7641016737103723,4.0,1.569600281386664,87.5,Kritis,Balai Desa Babakan,6.47,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Cilibang,Jeruklegi,-7.578392,109.019556,13.480840781903012,1.7394633266971629,42.0,6.160610035257382,84.0,Kritis,Balai Desa Cilibang,0.12,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Brebeg,Jeruklegi,-7.626715,109.001461,14.162229195210523,1.827384412285229,25.0,4.179778485360324,87.7,Kritis,Balai Desa Brebeg,0.12,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangkandri,Kesugihan,-7.669839,109.0852,14.276178594167709,1.842087560537769,6.0,0.9236625124277263,88.2,Kritis,Balai Desa Karangkandri,0.06,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Slarang,Kesugihan,-7.659267,109.113899,13.851014164765015,1.7872276341632278,9.0,1.6818520199619815,87.5,Kritis,Balai Desa Slarang,0.06,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kesugihan,Kesugihan,-7.608235,109.119931,13.317909421716472,1.7184399253827705,7.0,1.1022166833351816,83.2,Kritis,Balai Desa Kesugihan,0.34,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kalisabuk,Kesugihan,-7.658024,109.099508,14.011797056824443,1.8079738137837995,14.0,2.9883447962258307,87.5,Kritis,Balai Desa Kalisabuk,0.09,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Dondong,Kesugihan,-7.618474,109.067465,13.875095666239323,1.790334924676042,21.0,3.492617377558581,87.4,Kritis,Balai Desa Dondong,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Ciwuni,Kesugihan,-7.604209,109.083059,13.58824722647664,1.753322222771179,20.0,2.9632572347937085,86.4,Kritis,Balai Desa Ciwuni,0.09,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangjengkol,Kesugihan,-7.602037,109.091578,13.497861328813114,1.7416595262984662,17.0,2.228981690400433,85.7,Kritis,Balai Desa Karangjengkol,0.12,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Keleng,Kesugihan,-7.59519,109.111505,13.253216248961484,1.7100924192208369,18.0,2.695375250401927,82.8,Kritis,Balai Desa Keleng,0.12,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Pesanggrahan,Kesugihan,-7.594099,109.115168,13.208691757725926,1.7043473235775388,17.0,2.5952566508374457,82.8,Kritis,Balai Desa Pesanggrahan,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Bulupayung,Kesugihan,-7.596621,109.140066,12.998234058459165,1.6771914914140855,11.0,2.4414486496732897,82.8,Kritis,Balai Desa Bulupayung,0.03,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kuripan Kidul,Kesugihan,-7.65873,109.081864,14.21341051294701,1.8339884532834851,14.0,2.672580459897298,88.0,Kritis,Balai Desa Kuripan Kidul,0.11,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Jengrana,Kesugihan,-7.639427,109.063432,14.16579646025539,1.8278447045490824,23.0,4.1020978396068575,87.7,Kritis,Balai Desa Jangrana,0.07,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kesugihan Kidul,Kesugihan,-7.62259,109.121113,13.450821907837817,1.7355899235919765,13.0,2.321100895226729,84.0,Kritis,Balai Desa Kesugihan Kidul,0.06,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangrena,Maos,-7.606723,109.133039,13.171104231711553,1.6994973202208452,11.0,1.5874319443136222,82.9,Kritis,Balai Desa Karangrena,0.5,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Panisihan,Maos,-7.585351,109.158374,12.698168628412002,1.6384733714080002,14.0,2.778542702112193,81.7,Kritis,Balai Desa Penisihan,0.08,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangreja,Maos,-7.624115,109.147071,13.177769650527912,1.700357374261666,5.0,1.7650990680636562,82.9,Kritis,Balai Desa Karangreja,0.08,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangtengah,Sampang,-7.553736,109.218149,11.75853466968714,1.517230279959631,23.0,3.6457880765972943,73.9,Tinggi,Balai Desa Karangasem,2.04,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
